@[ LOG ][2013-12-21 12:27:03:598]: 	Program start.
@[ERROR][2013-12-21 12:29:47:655]: 	can not load URL. : http://www.amazon.com/gp/browse/?ie=UTF8&node=7700810011	:Read timed out
@[ERROR][2013-12-21 12:29:49:375]: 	can not load URL. : http://www.amazon.com/gp/browse/?ie=UTF8&node=7700811011	:Read timed out
@[ERROR][2013-12-21 12:29:50:104]: 	can not load URL. : http://www.amazon.com/gp/browse/?ie=UTF8&node=7700811011	:Read timed out
@[ERROR][2013-12-21 12:29:52:166]: 	can not load URL. : http://www.amazon.com/gp/browse/?ie=UTF8&node=5760982011	:Read timed out
@[ERROR][2013-12-21 12:29:52:569]: 	can not load URL. : http://www.amazon.com/gp/browse/?ie=UTF8&node=5760982011	:Read timed out
@[ERROR][2013-12-21 12:30:30:256]: 	can not load URL. : http://www.amazon.com/s?_encoding=UTF8&field-availability=-1&field-enc-merchantbin=ATVPDKIKX0DER&field-price-mp-owner-bin=00000-20000&rh=i%3Acomputers%2Cn%3A1232597011	:Too many redirects occurred trying to load URL http://www.amazon.com/s?ie=UTF8&field-availability=-1&field-enc-merchantbin=ATVPDKIKX0DER&field-price-mp-owner-bin=00000-20000&page=1&rh=n%3A1232597011%2Cp_6%3AATVPDKIKX0DER%7CATVPDKIKX0DER%7CATVPDKIKX0DER%7CATVPDKIKX0DER%7CATVPDKIKX0DER%7CATVPDKIKX0DER%7CATVPDKIKX0DER%7CATVPDKIKX0DER%7CATVPDKIKX0DER%7CATVPDKIKX0DER%7CATVPDKIKX0DER%7CATVPDKIKX0DER%7CATVPDKIKX0DER%7CATVPDKIKX0DER%7CATVPDKIKX0DER%7CATVPDKIKX0DER%7CATVPDKIKX0DER%7CATVPDKIKX0DER%7CATVPDKIKX0DER%2Cp_74%3A00000-20000%2Cp_n_availability%3A1248800011
@[ERROR][2013-12-21 12:30:31:483]: 	can not load URL. : http://www.amazon.com/s?_encoding=UTF8&field-availability=-1&field-enc-merchantbin=ATVPDKIKX0DER&field-price-mp-owner-bin=00000-20000&rh=i%3Acomputers%2Cn%3A1232597011	:Too many redirects occurred trying to load URL http://www.amazon.com/s?ie=UTF8&field-availability=-1&field-enc-merchantbin=ATVPDKIKX0DER&field-price-mp-owner-bin=00000-20000&page=1&rh=n%3A1232597011%2Cp_6%3AATVPDKIKX0DER%7CATVPDKIKX0DER%7CATVPDKIKX0DER%7CATVPDKIKX0DER%7CATVPDKIKX0DER%7CATVPDKIKX0DER%7CATVPDKIKX0DER%7CATVPDKIKX0DER%7CATVPDKIKX0DER%7CATVPDKIKX0DER%7CATVPDKIKX0DER%7CATVPDKIKX0DER%7CATVPDKIKX0DER%7CATVPDKIKX0DER%7CATVPDKIKX0DER%7CATVPDKIKX0DER%7CATVPDKIKX0DER%7CATVPDKIKX0DER%7CATVPDKIKX0DER%2Cp_74%3A00000-20000%2Cp_n_availability%3A1248800011
@[ERROR][2013-12-21 12:31:04:538]: 	can not load URL. : http://www.amazon.com/b?_encoding=UTF8&field-pct-off-mp-owner=20-&node=3237803011	:Read timed out
@[ERROR][2013-12-21 12:31:05:650]: 	can not load URL. : http://www.amazon.com/b?_encoding=UTF8&field-pct-off-mp-owner=30-&node=172572	:Read timed out
@[ERROR][2013-12-21 12:31:10:570]: 	can not load URL. : http://www.amazon.com/b?_encoding=UTF8&field-pct-off-mp-owner=40-&node=281056	:Read timed out
@[ERROR][2013-12-21 12:31:19:548]: 	can not load URL. : http://www.amazon.com/compare-credit-card-offers/b?ie=UTF8&node=3561432011	:Read timed out
@[ERROR][2013-12-21 12:31:39:509]: 	can not load URL. : http://www.amazon.com/b?ie=UTF8&node=3427287011	:Read timed out
@[ERROR][2013-12-21 12:31:42:287]: 	can not load URL. : http://www.amazon.com/mobile-apps/b?ie=UTF8&node=2350149011	:Read timed out
@[ERROR][2013-12-21 12:31:43:264]: 	can not load URL. : http://www.amazon.com/b?ie=UTF8&node=2478844011	:Read timed out
@[ERROR][2013-12-21 12:31:44:077]: 	can not load URL. : http://www.amazon.com/mobile-apps/b?ie=UTF8&node=2350149011	:Read timed out
@[ERROR][2013-12-21 12:31:49:192]: 	can not load URL. : http://www.amazon.com/b?ie=UTF8&node=5267605011	:Read timed out
@[ERROR][2013-12-21 12:31:49:324]: 	can not load URL. : http://www.amazon.com/b?ie=UTF8&node=6923534011	:Read timed out
@[ERROR][2013-12-21 12:31:50:332]: 	can not load URL. : http://www.amazon.com/pc-mac-software-downloads/b?ie=UTF8&node=1233514011	:Read timed out
@[ERROR][2013-12-21 12:31:51:817]: 	can not load URL. : http://www.amazon.com/PlayStation-Network/b?ie=UTF8&node=1289533011	:Read timed out
@[ERROR][2013-12-21 12:32:13:810]: 	can not load URL. : http://www.amazon.com/PC-Games/b?ie=UTF8&node=229575	:Read timed out
@[ERROR][2013-12-21 12:32:14:729]: 	can not load URL. : http://www.amazon.com/Printers-Office-Electronics/b?ie=UTF8&node=172635	:Read timed out
@[ERROR][2013-12-21 12:32:17:270]: 	can not load URL. : http://www.amazon.com/furniture-decor-rugs-lamps-beds-tv-stands/b?ie=UTF8&node=1057794	:Read timed out
@[ERROR][2013-12-21 12:32:22:181]: 	can not load URL. : http://www.amazon.com/Arts-Crafts-Sewing/b?ie=UTF8&node=2617941011	:Read timed out
@[ERROR][2013-12-21 12:32:24:448]: 	can not load URL. : http://www.amazon.com/Power-Tools-and-Hand-Tools/b?ie=UTF8&node=328182011	:Read timed out
@[ERROR][2013-12-21 12:32:24:737]: 	can not load URL. : http://www.amazon.com/Tools-and-Home-Improvement/b?ie=UTF8&node=228013	:Read timed out
@[ERROR][2013-12-21 12:32:25:024]: 	can not load URL. : http://www.amazon.com/lighting-and-ceiling-fans/b?ie=UTF8&node=495224	:Read timed out
@[ERROR][2013-12-21 12:32:25:449]: 	can not load URL. : http://www.amazon.com/Kitchen-and-Bath-Fixtures/b?ie=UTF8&node=3754161	:Read timed out
@[ERROR][2013-12-21 12:32:26:228]: 	can not load URL. : http://www.amazon.com/Hardware-Locks-and-Fasteners/b?ie=UTF8&node=511228	:Read timed out
@[ERROR][2013-12-21 12:32:26:369]: 	can not load URL. : http://www.amazon.com/home-automation-smarthome/b?ie=UTF8&node=6563140011	:Read timed out
@[ERROR][2013-12-21 12:32:30:567]: 	can not load URL. : http://www.amazon.com/grocery-breakfast-foods-snacks-organic/b?ie=UTF8&node=16310101	:Read timed out
@[ERROR][2013-12-21 12:32:30:772]: 	can not load URL. : http://www.amazon.com/Natural-Organic-Grocery/b?ie=UTF8&node=51537011	:Read timed out
@[ERROR][2013-12-21 12:32:31:773]: 	can not load URL. : http://www.amazon.com/flowers-bouquets-indoor-plants/b?ie=UTF8&node=3745171	:Read timed out
@[ERROR][2013-12-21 12:32:32:350]: 	can not load URL. : http://www.amazon.com/Wine-Red-White-Sparkling-Dessert-Rose/b?ie=UTF8&node=2983386011	:Read timed out
@[ERROR][2013-12-21 12:32:35:154]: 	can not load URL. : http://www.amazon.com/l/2402554011	:Read timed out
@[ERROR][2013-12-21 12:32:35:887]: 	can not load URL. : http://www.amazon.com/Kids-Family/b?ie=UTF8&node=471306	:Read timed out
@[ERROR][2013-12-21 12:32:39:182]: 	can not load URL. : http://www.amazon.com/Luggage-Bags-Travel-Accessories-Clothing/b?ie=UTF8&node=15743161	:Read timed out
@[ERROR][2013-12-21 12:32:41:772]: 	can not load URL. : http://www.amazon.com/outdoor-gear/b?ie=UTF8&node=706814011	:Read timed out
@[ERROR][2013-12-21 12:32:44:215]: 	can not load URL. : http://www.amazon.com/Boating-Water-Sports-Outdoors/b?ie=UTF8&node=3421331	:Read timed out
@[ERROR][2013-12-21 12:32:46:697]: 	can not load URL. : http://www.amazon.com/Sports-Collectibles/b?ie=UTF8&node=3250697011	:Read timed out
@[ERROR][2013-12-21 12:32:47:476]: 	can not load URL. : http://www.amazon.com/Golf-Sports-Outdoors/b?ie=UTF8&node=3410851	:Read timed out
@[ERROR][2013-12-21 12:33:10:590]: 	can not load URL. : http://www.amazon.com/compare-credit-card-offers/b?ie=UTF8&node=3561432011	:Read timed out
@[ERROR][2013-12-21 12:33:38:299]: 	can not load URL. : http://www.amazon.com/b?ie=UTF8&node=3427287011	:Read timed out
@[ERROR][2013-12-21 12:33:40:628]: 	can not load URL. : http://www.amazon.com/mobile-apps/b?ie=UTF8&node=2350149011	:Read timed out
@[ERROR][2013-12-21 12:33:40:715]: 	can not load URL. : http://www.amazon.com/b?ie=UTF8&node=2478844011	:Read timed out
@[ERROR][2013-12-21 12:33:41:738]: 	can not load URL. : http://www.amazon.com/mobile-apps/b?ie=UTF8&node=2350149011	:Read timed out
@[ERROR][2013-12-21 12:33:46:876]: 	can not load URL. : http://www.amazon.com/b?ie=UTF8&node=5267605011	:Read timed out
@[ERROR][2013-12-21 12:33:47:175]: 	can not load URL. : http://www.amazon.com/b?ie=UTF8&node=6923534011	:Read timed out
@[ERROR][2013-12-21 12:33:48:123]: 	can not load URL. : http://www.amazon.com/pc-mac-software-downloads/b?ie=UTF8&node=1233514011	:Read timed out
@[ERROR][2013-12-21 12:33:49:543]: 	can not load URL. : http://www.amazon.com/PlayStation-Network/b?ie=UTF8&node=1289533011	:Read timed out
@[ERROR][2013-12-21 12:34:10:615]: 	can not load URL. : http://www.amazon.com/PC-Games/b?ie=UTF8&node=229575	:Read timed out
@[ERROR][2013-12-21 12:34:11:231]: 	can not load URL. : http://www.amazon.com/Printers-Office-Electronics/b?ie=UTF8&node=172635	:Read timed out
@[ERROR][2013-12-21 12:34:14:532]: 	can not load URL. : http://www.amazon.com/furniture-decor-rugs-lamps-beds-tv-stands/b?ie=UTF8&node=1057794	:Read timed out
@[ERROR][2013-12-21 12:34:17:770]: 	can not load URL. : http://www.amazon.com/Arts-Crafts-Sewing/b?ie=UTF8&node=2617941011	:Read timed out
@[ERROR][2013-12-21 12:34:21:491]: 	can not load URL. : http://www.amazon.com/Power-Tools-and-Hand-Tools/b?ie=UTF8&node=328182011	:Read timed out
@[ERROR][2013-12-21 12:34:22:352]: 	can not load URL. : http://www.amazon.com/lighting-and-ceiling-fans/b?ie=UTF8&node=495224	:Read timed out
@[ERROR][2013-12-21 12:34:22:477]: 	can not load URL. : http://www.amazon.com/Tools-and-Home-Improvement/b?ie=UTF8&node=228013	:Read timed out
@[ERROR][2013-12-21 12:34:23:266]: 	can not load URL. : http://www.amazon.com/Hardware-Locks-and-Fasteners/b?ie=UTF8&node=511228	:Read timed out
@[ERROR][2013-12-21 12:34:23:293]: 	can not load URL. : http://www.amazon.com/Kitchen-and-Bath-Fixtures/b?ie=UTF8&node=3754161	:Read timed out
@[ERROR][2013-12-21 12:34:23:377]: 	can not load URL. : http://www.amazon.com/home-automation-smarthome/b?ie=UTF8&node=6563140011	:Read timed out
@[ERROR][2013-12-21 12:34:28:543]: 	can not load URL. : http://www.amazon.com/Natural-Organic-Grocery/b?ie=UTF8&node=51537011	:Read timed out
@[ERROR][2013-12-21 12:34:28:683]: 	can not load URL. : http://www.amazon.com/flowers-bouquets-indoor-plants/b?ie=UTF8&node=3745171	:Read timed out
@[ERROR][2013-12-21 12:34:29:079]: 	can not load URL. : http://www.amazon.com/grocery-breakfast-foods-snacks-organic/b?ie=UTF8&node=16310101	:Read timed out
@[ERROR][2013-12-21 12:34:29:841]: 	can not load URL. : http://www.amazon.com/Wine-Red-White-Sparkling-Dessert-Rose/b?ie=UTF8&node=2983386011	:Read timed out
@[ERROR][2013-12-21 12:34:32:463]: 	can not load URL. : http://www.amazon.com/l/2402554011	:Read timed out
@[ERROR][2013-12-21 12:34:33:091]: 	can not load URL. : http://www.amazon.com/Kids-Family/b?ie=UTF8&node=471306	:Read timed out
@[ERROR][2013-12-21 12:34:36:477]: 	can not load URL. : http://www.amazon.com/Luggage-Bags-Travel-Accessories-Clothing/b?ie=UTF8&node=15743161	:Read timed out
@[ERROR][2013-12-21 12:34:39:688]: 	can not load URL. : http://www.amazon.com/outdoor-gear/b?ie=UTF8&node=706814011	:Read timed out
@[ERROR][2013-12-21 12:34:42:431]: 	can not load URL. : http://www.amazon.com/Boating-Water-Sports-Outdoors/b?ie=UTF8&node=3421331	:Read timed out
@[ERROR][2013-12-21 12:34:45:477]: 	can not load URL. : http://www.amazon.com/Sports-Collectibles/b?ie=UTF8&node=3250697011	:Read timed out
@[ERROR][2013-12-21 12:34:46:509]: 	can not load URL. : http://www.amazon.com/Golf-Sports-Outdoors/b?ie=UTF8&node=3410851	:Read timed out
@[ERROR][2013-12-21 12:35:12:341]: 	can not load URL. : http://www.amazon.com/compare-credit-card-offers/b?ie=UTF8&node=3561432011	:Read timed out
@[ERROR][2013-12-21 12:35:34:554]: 	can not load URL. : http://www.amazon.com/b?ie=UTF8&node=3427287011	:Read timed out
@[ERROR][2013-12-21 12:35:36:405]: 	can not load URL. : http://www.amazon.com/mobile-apps/b?ie=UTF8&node=2350149011	:Read timed out
@[ERROR][2013-12-21 12:35:37:041]: 	can not load URL. : http://www.amazon.com/b?ie=UTF8&node=2478844011	:Read timed out
@[ERROR][2013-12-21 12:35:37:894]: 	can not load URL. : http://www.amazon.com/mobile-apps/b?ie=UTF8&node=2350149011	:Read timed out
@[ERROR][2013-12-21 12:35:41:602]: 	can not load URL. : http://www.amazon.com/b?ie=UTF8&node=6923534011	:Read timed out
@[ERROR][2013-12-21 12:35:41:750]: 	can not load URL. : http://www.amazon.com/b?ie=UTF8&node=5267605011	:Read timed out
@[ERROR][2013-12-21 12:35:42:533]: 	can not load URL. : http://www.amazon.com/pc-mac-software-downloads/b?ie=UTF8&node=1233514011	:Read timed out
@[ERROR][2013-12-21 12:35:44:576]: 	can not load URL. : http://www.amazon.com/PlayStation-Network/b?ie=UTF8&node=1289533011	:Read timed out
@[ERROR][2013-12-21 12:36:07:041]: 	can not load URL. : http://www.amazon.com/PC-Games/b?ie=UTF8&node=229575	:Read timed out
@[ERROR][2013-12-21 12:36:07:573]: 	can not load URL. : http://www.amazon.com/Printers-Office-Electronics/b?ie=UTF8&node=172635	:Read timed out
@[ERROR][2013-12-21 12:36:10:531]: 	can not load URL. : http://www.amazon.com/furniture-decor-rugs-lamps-beds-tv-stands/b?ie=UTF8&node=1057794	:Read timed out
@[ERROR][2013-12-21 12:36:15:093]: 	can not load URL. : http://www.amazon.com/Arts-Crafts-Sewing/b?ie=UTF8&node=2617941011	:Read timed out
@[ERROR][2013-12-21 12:36:17:599]: 	can not load URL. : http://www.amazon.com/Power-Tools-and-Hand-Tools/b?ie=UTF8&node=328182011	:Read timed out
@[ERROR][2013-12-21 12:36:18:319]: 	can not load URL. : http://www.amazon.com/Tools-and-Home-Improvement/b?ie=UTF8&node=228013	:Read timed out
@[ERROR][2013-12-21 12:36:18:420]: 	can not load URL. : http://www.amazon.com/lighting-and-ceiling-fans/b?ie=UTF8&node=495224	:Read timed out
@[ERROR][2013-12-21 12:36:18:880]: 	can not load URL. : http://www.amazon.com/Kitchen-and-Bath-Fixtures/b?ie=UTF8&node=3754161	:Read timed out
@[ERROR][2013-12-21 12:36:19:437]: 	can not load URL. : http://www.amazon.com/Hardware-Locks-and-Fasteners/b?ie=UTF8&node=511228	:Read timed out
@[ERROR][2013-12-21 12:36:19:873]: 	can not load URL. : http://www.amazon.com/home-automation-smarthome/b?ie=UTF8&node=6563140011	:Read timed out
@[ERROR][2013-12-21 12:36:24:975]: 	can not load URL. : http://www.amazon.com/grocery-breakfast-foods-snacks-organic/b?ie=UTF8&node=16310101	:Read timed out
@[ERROR][2013-12-21 12:36:25:339]: 	can not load URL. : http://www.amazon.com/Natural-Organic-Grocery/b?ie=UTF8&node=51537011	:Read timed out
@[ERROR][2013-12-21 12:36:25:974]: 	can not load URL. : http://www.amazon.com/flowers-bouquets-indoor-plants/b?ie=UTF8&node=3745171	:Read timed out
@[ERROR][2013-12-21 12:36:26:315]: 	can not load URL. : http://www.amazon.com/Wine-Red-White-Sparkling-Dessert-Rose/b?ie=UTF8&node=2983386011	:Read timed out
@[ERROR][2013-12-21 12:36:29:242]: 	can not load URL. : http://www.amazon.com/l/2402554011	:Read timed out
@[ERROR][2013-12-21 12:36:29:981]: 	can not load URL. : http://www.amazon.com/Kids-Family/b?ie=UTF8&node=471306	:Read timed out
@[ERROR][2013-12-21 12:36:34:369]: 	can not load URL. : http://www.amazon.com/Luggage-Bags-Travel-Accessories-Clothing/b?ie=UTF8&node=15743161	:Read timed out
@[ERROR][2013-12-21 12:36:36:747]: 	can not load URL. : http://www.amazon.com/outdoor-gear/b?ie=UTF8&node=706814011	:Read timed out
@[ERROR][2013-12-21 12:36:39:353]: 	can not load URL. : http://www.amazon.com/Boating-Water-Sports-Outdoors/b?ie=UTF8&node=3421331	:Read timed out
@[ERROR][2013-12-21 12:36:40:916]: 	can not load URL. : http://www.amazon.com/Sports-Collectibles/b?ie=UTF8&node=3250697011	:Read timed out
@[ERROR][2013-12-21 12:36:41:814]: 	can not load URL. : http://www.amazon.com/Golf-Sports-Outdoors/b?ie=UTF8&node=3410851	:Read timed out
@[ERROR][2013-12-21 12:37:10:103]: 	can not load URL. : http://www.amazon.com/compare-credit-card-offers/b?ie=UTF8&node=3561432011	:Read timed out
@[ERROR][2013-12-21 12:37:34:911]: 	can not load URL. : http://www.amazon.com/b?ie=UTF8&node=3427287011	:Read timed out
@[ERROR][2013-12-21 12:37:38:168]: 	can not load URL. : http://www.amazon.com/b?ie=UTF8&node=2478844011	:Read timed out
@[ERROR][2013-12-21 12:37:38:363]: 	can not load URL. : http://www.amazon.com/mobile-apps/b?ie=UTF8&node=2350149011	:Read timed out
@[ERROR][2013-12-21 12:37:39:158]: 	can not load URL. : http://www.amazon.com/mobile-apps/b?ie=UTF8&node=2350149011	:Read timed out
@[ERROR][2013-12-21 12:37:43:686]: 	can not load URL. : http://www.amazon.com/b?ie=UTF8&node=6923534011	:Read timed out
@[ERROR][2013-12-21 12:37:43:759]: 	can not load URL. : http://www.amazon.com/b?ie=UTF8&node=5267605011	:Read timed out
@[ERROR][2013-12-21 12:37:44:156]: 	can not load URL. : http://www.amazon.com/pc-mac-software-downloads/b?ie=UTF8&node=1233514011	:Read timed out
@[ERROR][2013-12-21 12:37:45:848]: 	can not load URL. : http://www.amazon.com/PlayStation-Network/b?ie=UTF8&node=1289533011	:Read timed out
@[ERROR][2013-12-21 12:38:11:938]: 	can not load URL. : http://www.amazon.com/PC-Games/b?ie=UTF8&node=229575	:Read timed out
@[ERROR][2013-12-21 12:38:13:111]: 	can not load URL. : http://www.amazon.com/Printers-Office-Electronics/b?ie=UTF8&node=172635	:Read timed out
@[ERROR][2013-12-21 12:38:16:552]: 	can not load URL. : http://www.amazon.com/furniture-decor-rugs-lamps-beds-tv-stands/b?ie=UTF8&node=1057794	:Read timed out
@[ERROR][2013-12-21 12:38:21:060]: 	can not load URL. : http://www.amazon.com/Arts-Crafts-Sewing/b?ie=UTF8&node=2617941011	:Read timed out
@[ERROR][2013-12-21 12:38:22:607]: 	can not load URL. : http://www.amazon.com/Power-Tools-and-Hand-Tools/b?ie=UTF8&node=328182011	:Read timed out
@[ERROR][2013-12-21 12:38:23:055]: 	can not load URL. : http://www.amazon.com/Tools-and-Home-Improvement/b?ie=UTF8&node=228013	:Read timed out
@[ERROR][2013-12-21 12:38:23:508]: 	can not load URL. : http://www.amazon.com/lighting-and-ceiling-fans/b?ie=UTF8&node=495224	:Read timed out
@[ERROR][2013-12-21 12:38:24:068]: 	can not load URL. : http://www.amazon.com/Kitchen-and-Bath-Fixtures/b?ie=UTF8&node=3754161	:Read timed out
@[ERROR][2013-12-21 12:38:25:053]: 	can not load URL. : http://www.amazon.com/home-automation-smarthome/b?ie=UTF8&node=6563140011	:Read timed out
@[ERROR][2013-12-21 12:38:25:264]: 	can not load URL. : http://www.amazon.com/Hardware-Locks-and-Fasteners/b?ie=UTF8&node=511228	:Read timed out
@[ERROR][2013-12-21 12:38:30:214]: 	can not load URL. : http://www.amazon.com/Natural-Organic-Grocery/b?ie=UTF8&node=51537011	:Read timed out
@[ERROR][2013-12-21 12:38:30:757]: 	can not load URL. : http://www.amazon.com/flowers-bouquets-indoor-plants/b?ie=UTF8&node=3745171	:Read timed out
@[ERROR][2013-12-21 12:38:31:502]: 	can not load URL. : http://www.amazon.com/grocery-breakfast-foods-snacks-organic/b?ie=UTF8&node=16310101	:Read timed out
@[ERROR][2013-12-21 12:38:31:613]: 	can not load URL. : http://www.amazon.com/Wine-Red-White-Sparkling-Dessert-Rose/b?ie=UTF8&node=2983386011	:Read timed out
@[ERROR][2013-12-21 12:38:34:316]: 	can not load URL. : http://www.amazon.com/l/2402554011	:Read timed out
@[ERROR][2013-12-21 12:38:35:048]: 	can not load URL. : http://www.amazon.com/Kids-Family/b?ie=UTF8&node=471306	:Read timed out
@[ERROR][2013-12-21 12:38:39:891]: 	can not load URL. : http://www.amazon.com/Luggage-Bags-Travel-Accessories-Clothing/b?ie=UTF8&node=15743161	:Read timed out
@[ERROR][2013-12-21 12:38:42:367]: 	can not load URL. : http://www.amazon.com/outdoor-gear/b?ie=UTF8&node=706814011	:Read timed out
@[ERROR][2013-12-21 12:38:44:902]: 	can not load URL. : http://www.amazon.com/Boating-Water-Sports-Outdoors/b?ie=UTF8&node=3421331	:Read timed out
@[ERROR][2013-12-21 12:38:47:187]: 	can not load URL. : http://www.amazon.com/Sports-Collectibles/b?ie=UTF8&node=3250697011	:Read timed out
@[ERROR][2013-12-21 12:38:48:370]: 	can not load URL. : http://www.amazon.com/Golf-Sports-Outdoors/b?ie=UTF8&node=3410851	:Read timed out
@[ERROR][2013-12-21 12:39:04:094]: 	java.sql.Statement executeQuery Exception
@[ERROR][2013-12-21 12:39:04:094]: 	null
@[ LOG ][2013-12-21 12:39:04:095]: 	Program finished.
@[ERROR][2013-12-21 12:39:21:859]: 	can not load URL. : http://www.amazon.com/compare-credit-card-offers/b?ie=UTF8&node=3561432011	:Read timed out
@[ LOG ][2013-12-21 17:02:00:189]: 	Program start.
@[ERROR][2013-12-21 17:02:34:867]: 	can not load URL. : http://www.amazon.com/gift-cards/b?ie=UTF8&node=2238192011	:Read timed out
@[ERROR][2013-12-21 17:03:18:934]: 	can not load URL. : http://www.amazon.com/b?ie=UTF8&node=3427287011	:Read timed out
@[ERROR][2013-12-21 17:03:21:170]: 	can not load URL. : http://www.amazon.com/mobile-apps/b?ie=UTF8&node=2350149011	:Read timed out
@[ERROR][2013-12-21 17:03:21:698]: 	can not load URL. : http://www.amazon.com/b?ie=UTF8&node=2478844011	:Read timed out
@[ERROR][2013-12-21 17:03:23:475]: 	can not load URL. : http://www.amazon.com/mobile-apps/b?ie=UTF8&node=2350149011	:Read timed out
@[ERROR][2013-12-21 17:03:27:139]: 	can not load URL. : http://www.amazon.com/b?ie=UTF8&node=5267605011	:Read timed out
@[ERROR][2013-12-21 17:03:27:233]: 	can not load URL. : http://www.amazon.com/b?ie=UTF8&node=6923534011	:Read timed out
